id,contestantId,seasonId,age,outcome,createdAt,contestantDragName,seasonName,franchiseName
78658d60-d2be-4854-a793-836fc352622e,797bc644-c8e8-4e77-b37d-4681d784f773,1da60299-70ad-4448-a7f3-271477e27e84,39,9th place,2025-08-20T20:00:47.351Z,"Victoria ""Porkchop"" Parker",Season 1,RuPaul's Drag Race (US)
9899a6aa-73c9-45a1-9cdb-7f8735ee98db,5b961188-3585-4d7a-8be6-5814b48ae745,1da60299-70ad-4448-a7f3-271477e27e84,28,8th place,2025-08-20T20:00:44.431Z,Tammie Brown,Season 1,RuPaul's Drag Race (US)
18459893-b67e-4ce4-9d00-61533a71c9d5,9f9b034f-f706-4785-9c1a-1a22352de8dc,1da60299-70ad-4448-a7f3-271477e27e84,23,7th place,2025-08-20T20:00:42.025Z,Akashia,Season 1,RuPaul's Drag Race (US)
2ea81e1a-d8f8-4ade-bb25-55a07f579406,6aeaca48-6be7-417d-8d01-89b825327c4d,1da60299-70ad-4448-a7f3-271477e27e84,25,6th place,2025-08-20T20:00:39.884Z,Jade[b],Season 1,RuPaul's Drag Race (US)
6129f121-00c4-4538-92c6-5ce6697fd4d4,830d3e90-31c0-4cb6-9829-50080c0e97c1,1da60299-70ad-4448-a7f3-271477e27e84,25,5th place,2025-08-20T20:00:37.832Z,Ongina,Season 1,RuPaul's Drag Race (US)
58b0516d-bc7a-4b1a-8c67-9c671106581c,4712c66c-9bd4-4de7-8011-c0832c3770a3,1da60299-70ad-4448-a7f3-271477e27e84,29,4th place,2025-08-20T20:00:34.956Z,Shannel,Season 1,RuPaul's Drag Race (US)
967a8a06-b6de-4b20-93e5-f922b11d5520,415bd1be-a915-454b-9762-524a4011e7fc,1da60299-70ad-4448-a7f3-271477e27e84,26,3rd place,2025-08-20T20:00:32.745Z,Rebecca Glasscock,Season 1,RuPaul's Drag Race (US)
e092116d-70f8-4717-b6e1-aa4d4ba63a27,2889c086-ef71-4e2b-ab0e-15ff74e3a247,1da60299-70ad-4448-a7f3-271477e27e84,34,Runner-up,2025-08-20T20:00:30.099Z,Nina Flowers,Season 1,RuPaul's Drag Race (US)
87cffd96-d9ee-48ef-b5e7-9216b93d146d,4a143033-745b-4423-91c6-a23a99b2edff,1da60299-70ad-4448-a7f3-271477e27e84,30,Winner,2025-08-20T20:00:27.650Z,BeBe Zahara Benet,Season 1,RuPaul's Drag Race (US)
62ebe531-870b-487e-a4d1-563bdef31762,45c7674b-79bf-4f04-8aa1-e93ca5d3d594,dea5e20c-e23c-4a8a-8bdb-a6ee296f2a28,28,12th place,2025-08-20T20:00:23.438Z,Shangela,Season 2,RuPaul's Drag Race (US)
611dd3a7-c5f2-472e-88ba-74ab80cf8820,2ea079b9-47f8-44be-aae9-7ad94e61d00d,dea5e20c-e23c-4a8a-8bdb-a6ee296f2a28,36,11th place,2025-08-20T20:00:19.076Z,Nicole Paige Brooks,Season 2,RuPaul's Drag Race (US)
79759ac4-5dc4-4499-af8b-25345de7c0d9,42fb86a9-7e18-4cf3-8827-b59ab7566057,dea5e20c-e23c-4a8a-8bdb-a6ee296f2a28,25,10th place,2025-08-20T20:00:16.529Z,Mystique Summers Madison,Season 2,RuPaul's Drag Race (US)
6eb1cc39-4e69-434f-a927-a52869fc8042,4d1ee7f2-9cc7-4389-93c3-813fb568c9d4,dea5e20c-e23c-4a8a-8bdb-a6ee296f2a28,26,9th place,2025-08-20T20:00:14.047Z,Sonique[b],Season 2,RuPaul's Drag Race (US)
a61a43fb-6cb8-498a-940c-74a6c50e97d9,6652eb69-1507-427d-912e-e2212af272be,dea5e20c-e23c-4a8a-8bdb-a6ee296f2a28,28,8th place,2025-08-20T20:00:11.753Z,Morgan McMichaels,Season 2,RuPaul's Drag Race (US)
941bd816-d2af-45a1-8800-3f2d95c60379,918a8805-8ded-464d-ba24-4193b5393a1b,dea5e20c-e23c-4a8a-8bdb-a6ee296f2a28,25,7th place,2025-08-20T20:00:09.277Z,Sahara Davenport,Season 2,RuPaul's Drag Race (US)
be2edd5e-7fb6-4369-a7b1-d25c153c1d21,7cc4757b-00a5-449f-b88a-dc36d578cd87,dea5e20c-e23c-4a8a-8bdb-a6ee296f2a28,29,6th place,2025-08-20T20:00:06.801Z,Jessica Wild,Season 2,RuPaul's Drag Race (US)
d5642a0d-0ba1-494c-a05b-b4ce91214270,7db012e4-de9f-4d3b-ba4e-41e5099c80ca,dea5e20c-e23c-4a8a-8bdb-a6ee296f2a28,37,5th place[a],2025-08-20T20:00:04.190Z,Pandora Boxx,Season 2,RuPaul's Drag Race (US)
5f2c7861-7b5e-46b7-8db1-56f99074dbf4,2667bd61-7fca-45bc-bf5e-0c3e10e3ed52,dea5e20c-e23c-4a8a-8bdb-a6ee296f2a28,21,4th place,2025-08-20T20:00:01.326Z,Tatianna,Season 2,RuPaul's Drag Race (US)
d62048b6-8f64-4a3a-8a3d-857cc3327951,0a92358f-04c3-476c-8f96-e5779248943b,dea5e20c-e23c-4a8a-8bdb-a6ee296f2a28,25,3rd place,2025-08-20T19:59:59.227Z,Jujubee,Season 2,RuPaul's Drag Race (US)
35ef6f36-4017-4a40-bc28-7601a3917546,a4c61dbc-733c-4b40-a0af-fba6f5fbe310,dea5e20c-e23c-4a8a-8bdb-a6ee296f2a28,30,Runner-up,2025-08-20T19:59:57.071Z,Raven,Season 2,RuPaul's Drag Race (US)
