id,dragName,realName,hometown,biography,twitter,instagram,tiktok,metadataSourceUrl,hasImages,imageCount,imageUrls,lastImageScrapeAt,age,outcome,season,franchise,seasonMetadataSourceUrl,createdAt,updatedAt
fad5368f-3f37-49b5-8090-bb88f94c0e31,Courtney Act,Shane Gilberto Jenek,"Brisbane, Australia","Courtney Act is the drag persona of Shane Gilberto Jenek, an Australian drag queen, pop singer, entertainer and reality television personality.",,,,https://en.wikipedia.org/wiki/Courtney_Act,false,0,,,,,,,,2025-08-20T20:04:21.152Z,2025-08-20T20:04:21.152Z
141c7687-4022-4564-94a1-2c081a53fa7f,RuPaul,RuPaul Andre Charles,"San Diego, California","RuPaul Andre Charles is an American drag queen, television judge, musician, and model. RuPaul has produced, hosted, and judged the reality competition series RuPaul's Drag Race since 2009.",,,,https://en.wikipedia.org/wiki/RuPaul,false,0,,,,,,,,2025-08-20T20:04:16.325Z,2025-08-20T20:04:16.325Z
797bc644-c8e8-4e77-b37d-4681d784f773,"Victoria ""Porkchop"" Parker",9th place,"Raleigh, North Carolina",,,,,https://rupaulsdragrace.fandom.com/wiki/Victoria_%22Porkchop%22_Parker,false,0,,,39,9th place,Season 1,RuPaul's Drag Race (US),https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_season_1,2025-08-20T20:00:47.344Z,2025-08-20T20:00:47.344Z
5b961188-3585-4d7a-8be6-5814b48ae745,Tammie Brown,8th place,"Long Beach, California",,,,,https://rupaulsdragrace.fandom.com/wiki/Tammie_Brown,false,0,,,28,8th place,Season 1,RuPaul's Drag Race (US),https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_season_1,2025-08-20T20:00:44.426Z,2025-08-20T20:00:44.426Z
9f9b034f-f706-4785-9c1a-1a22352de8dc,Akashia,7th place,"Cleveland, Ohio",,,,,https://rupaulsdragrace.fandom.com/wiki/Akashia,false,0,,,23,7th place,Season 1,RuPaul's Drag Race (US),https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_season_1,2025-08-20T20:00:42.017Z,2025-08-20T20:00:42.017Z
6aeaca48-6be7-417d-8d01-89b825327c4d,Jade[b],6th place,"Chicago, Illinois",,,,,,false,0,,,25,6th place,Season 1,RuPaul's Drag Race (US),https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_season_1,2025-08-20T20:00:39.879Z,2025-08-20T20:00:39.879Z
830d3e90-31c0-4cb6-9829-50080c0e97c1,Ongina,5th place,"Los Angeles, California",,,,,https://rupaulsdragrace.fandom.com/wiki/Ongina,false,0,,,25,5th place,Season 1,RuPaul's Drag Race (US),https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_season_1,2025-08-20T20:00:37.822Z,2025-08-20T20:00:37.822Z
4712c66c-9bd4-4de7-8011-c0832c3770a3,Shannel,4th place,"Las Vegas, Nevada",,,,,https://rupaulsdragrace.fandom.com/wiki/Shannel,false,0,,,29,4th place,Season 1,RuPaul's Drag Race (US),https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_season_1,2025-08-20T20:00:34.949Z,2025-08-20T20:00:34.949Z
415bd1be-a915-454b-9762-524a4011e7fc,Rebecca Glasscock,3rd place,"Fort Lauderdale, Florida",,,,,https://rupaulsdragrace.fandom.com/wiki/Rebecca_Glasscock,false,0,,,26,3rd place,Season 1,RuPaul's Drag Race (US),https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_season_1,2025-08-20T20:00:32.737Z,2025-08-20T20:00:32.737Z
2889c086-ef71-4e2b-ab0e-15ff74e3a247,Nina Flowers,Runner-up[a],"Denver, Colorado",,,,,https://rupaulsdragrace.fandom.com/wiki/Nina_Flowers,false,0,,,34,Runner-up,Season 1,RuPaul's Drag Race (US),https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_season_1,2025-08-20T20:00:30.094Z,2025-08-20T20:00:30.094Z
