id,name,metadataSourceUrl,createdAt
2c38ba1d-18df-4622-8b43-e6a6312a4a4a,Canada's Drag Race,https://en.wikipedia.org/wiki/Canada%27s_Drag_Race,2025-08-20T19:45:14.479Z
d14c5c73-5b13-405d-a678-cd7492ea9a5a,Drag Race Belgique,https://en.wikipedia.org/wiki/Drag_Race_Belgique,2025-08-20T19:45:14.486Z
542d3b2d-c04a-4e21-87e5-1c77cec55580,Drag Race Brasil,https://en.wikipedia.org/wiki/Drag_Race_Brasil,2025-08-20T19:45:14.483Z
a762785e-2e70-4811-a685-2a8ecbd7fa1c,Drag Race Down Under,https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_Down_Under,2025-08-20T19:45:14.480Z
bf3b1b1f-04b8-4320-8179-e8c19d40bb0f,Drag Race España,https://en.wikipedia.org/wiki/Drag_Race_Espa%C3%B1a,2025-08-20T19:45:14.481Z
67ed98e9-a93b-434e-9a0b-0db904d94ad1,Drag Race France,https://en.wikipedia.org/wiki/Drag_Race_France,2025-08-20T19:45:14.481Z
e5e44070-5848-429f-921d-65e966ec6389,Drag Race Germany,https://en.wikipedia.org/wiki/Drag_Race_Germany,2025-08-20T19:45:14.488Z
3ab43702-6ccc-453b-b98c-b025dcf26dae,Drag Race Holland,https://en.wikipedia.org/wiki/Drag_Race_Holland,2025-08-20T19:45:14.486Z
995cb108-fe93-4efa-978c-5e12ed73dbcd,Drag Race Italia,https://en.wikipedia.org/wiki/Drag_Race_Italia,2025-08-20T19:45:14.482Z
55e02128-e2df-4c62-a53b-3ae5b2dc2cea,Drag Race México,https://en.wikipedia.org/wiki/Drag_Race_M%C3%A9xico,2025-08-20T19:45:14.483Z
df9d3b7d-cf66-4404-b65a-f91d7f8e657b,Drag Race Philippines,https://en.wikipedia.org/wiki/Drag_Race_Philippines,2025-08-20T19:45:14.484Z
17c8676d-42a4-4aa5-9bde-e87781574b7b,Drag Race Sweden,https://en.wikipedia.org/wiki/Drag_Race_Sverige,2025-08-20T19:45:14.487Z
6b0630bd-d4b8-4acc-9807-8ed05d4de346,Drag Race Thailand,https://en.wikipedia.org/wiki/Drag_Race_Thailand,2025-08-20T19:45:14.485Z
2bdb6d48-7202-4b61-8833-1acfb38f28fa,Drag Race vs The World,https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race:_UK_vs._The_World,2025-08-20T19:45:14.489Z
f6bce814-e564-4fc6-8da4-33b937d0c72a,Global All Stars,https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_Global_All_Stars,2025-08-20T19:45:14.490Z
95cd46b5-9dda-4525-864d-9f8505451e8f,RuPaul's Drag Race (US),https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race,2025-08-20T19:45:14.469Z
ee23c1b3-6c74-4b0a-99f1-2c8952259a65,RuPaul's Drag Race UK,https://en.wikipedia.org/wiki/RuPaul%27s_Drag_Race_UK,2025-08-20T19:45:14.477Z
fc485d9f-574d-474b-b555-fef049132652,The Switch Drag Race,https://en.wikipedia.org/wiki/The_Switch_Drag_Race,2025-08-20T19:45:14.488Z
6ec3bd1f-bd00-43eb-baad-6f9f35a487f7,US,https://en.wikipedia.org/wiki/US,2025-08-20T20:04:14.705Z
